anime_id,title,type,episodes,score,rank,popularity,favorites,genre,duration_min
11013,Inu x Boku SS,TV,12,7.63,1274,231,2809,"Comedy, Supernatural, Romance, Shounen",24
2104,Seto no Hanayome,TV,26,7.89,727,366,2579,"Comedy, Parody, Romance, School, Shounen",24
5262,Shugo Chara!! Doki,TV,51,7.55,1508,1173,802,"Comedy, Magic, School, Shoujo",24
721,Princess Tutu,TV,38,8.21,307,916,3344,"Comedy, Drama, Magic, Romance, Fantasy",16
12365,Bakuman. 3rd Season,TV,25,8.67,50,426,2082,"Comedy, Drama, Romance, Shounen",24
6586,Yume-iro P??tissi??re,TV,50,8.03,526,1630,826,"Kids, School, Shoujo",24
178,Ultra Maniac,TV,26,7.26,2594,2490,122,"Magic, Comedy, Romance, School, Shoujo",24
2787,Shakugan no Shana II (Second),TV,24,7.72,1066,332,1075,"Action, Drama, Fantasy, Romance, School, Supernatural",24
4477,Nodame Cantabile: Paris-hen,TV,11,8.24,281,988,282,"Music, Slice of Life, Comedy, Romance, Josei",23
853,Ouran Koukou Host Club,TV,26,8.34,205,69,24072,"Comedy, Harem, Romance, School, Shoujo",23
4814,Junjou Romantica 2,TV,12,8.15,374,799,1123,"Comedy, Drama, Romance, Shounen Ai",24
7054,Kaichou wa Maid-sama!,TV,26,8.2,314,71,14436,"Comedy, Romance, School, Shoujo",24
11123,Sekaiichi Hatsukoi 2,TV,12,8.23,288,945,726,"Comedy, Drama, Romance, Shounen Ai",24
14227,Tonari no Kaibutsu-kun,TV,13,7.71,1093,88,4064,"Slice of Life, Comedy, Romance, School, Shoujo",24
269,Bleach,TV,366,7.9,693,18,40718,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",24
59,Chobits,TV,26,7.53,1546,188,3271,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",24
6045,Kimi ni Todoke,TV,25,8.13,400,111,8041,"Slice of Life, Drama, Romance, School, Shoujo",22
1735,Naruto: Shippuuden,TV,500,8.18,337,20,42846,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",23
210,Ranma ??,TV,161,7.85,802,623,2742,"Slice of Life, Comedy, Martial Arts, Fantasy",24
4224,Toradora!,TV,25,8.39,174,13,35322,"Slice of Life, Comedy, Romance, School",24
10030,Bakuman. 2nd Season,TV,25,8.49,108,374,1023,"Comedy, Drama, Romance, Shounen",24
74,Gakuen Alice,TV,26,7.77,941,1291,1403,"Comedy, School, Shoujo, Super Power",25
4722,Skip Beat!,TV,25,8.24,282,488,4668,"Comedy, Drama, Romance, Shoujo",24
14397,Chihayafuru 2,TV,25,8.47,116,757,1116,"Drama, Game, Josei, School, Slice of Life, Sports",22
1557,Shounen Onmyouji,TV,26,7.68,1158,1793,274,"Action, Magic, Fantasy, Supernatural, Demons, Historical, Shoujo",23
10800,Chihayafuru,TV,25,8.29,246,348,4524,"Drama, Game, Josei, School, Slice of Life, Sports",22
3731,Itazura na Kiss,TV,25,7.7,1108,473,2632,"Comedy, Romance, Shoujo",24
9513,Beelzebub,TV,60,8.02,528,208,3785,"Action, Comedy, Demons, Supernatural, School, Shounen",24
5835,Hanasakeru Seishounen,TV,39,7.87,753,1654,500,"Drama, Romance, Shoujo",24
9863,SKET Dance,TV,77,8.33,213,646,2474,"Comedy, School, Shounen",24
7817,B-gata H-kei,TV,12,7.1,3193,285,1641,"Comedy, Romance, Ecchi, School, Seinen",24
966,Crayon Shin-chan,TV,0,7.73,1032,1937,600,"Slice of Life, Comedy, Ecchi, School, Seinen",21
120,Fruits Basket,TV,26,7.77,939,222,7579,"Slice of Life, Comedy, Drama, Romance, Fantasy, Shoujo",24
957,Saiunkoku Monogatari,TV,39,8.04,512,1313,1059,"Adventure, Fantasy, Comedy, Romance, Historical, Drama",25
21,One Piece,TV,0,8.54,91,35,69760,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",24
1974,Glass no Kamen (2005),TV,51,8.18,333,2523,365,"Drama, Shoujo",25
857,Air Gear,TV,25,7.64,1233,297,3254,"Action, Comedy, Ecchi, Shounen, Sports",24
