anime_id,title,score,genre
11013,Inu x Boku SS,7.63,"Comedy, Supernatural, Romance, Shounen"
2104,Seto no Hanayome,7.89,"Comedy, Parody, Romance, School, Shounen"
5262,Shugo Chara!! Doki,7.55,"Comedy, Magic, School, Shoujo"
721,Princess Tutu,8.21,"Comedy, Drama, Magic, Romance, Fantasy"
12365,Bakuman. 3rd Season,8.67,"Comedy, Drama, Romance, Shounen"
6586,Yume-iro P’¢tissi’åre,8.03,"Kids, School, Shoujo"
178,Ultra Maniac,7.26,"Magic, Comedy, Romance, School, Shoujo"
2787,Shakugan no Shana II (Second),7.72,"Action, Drama, Fantasy, Romance, School, Supernatural"
4477,Nodame Cantabile: Paris-hen,8.24,"Music, Slice of Life, Comedy, Romance, Josei"
853,Ouran Koukou Host Club,8.34,"Comedy, Harem, Romance, School, Shoujo"
4814,Junjou Romantica 2,8.15,"Comedy, Drama, Romance, Shounen Ai"
7054,Kaichou wa Maid-sama!,8.2,"Comedy, Romance, School, Shoujo"
11123,Sekaiichi Hatsukoi 2,8.23,"Comedy, Drama, Romance, Shounen Ai"
14227,Tonari no Kaibutsu-kun,7.71,"Slice of Life, Comedy, Romance, School, Shoujo"
269,Bleach,7.9,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen"
59,Chobits,7.53,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen"
6045,Kimi ni Todoke,8.13,"Slice of Life, Drama, Romance, School, Shoujo"
1735,Naruto: Shippuuden,8.18,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen"
210,Ranma Î_,7.85,"Slice of Life, Comedy, Martial Arts, Fantasy"
4224,Toradora!,8.39,"Slice of Life, Comedy, Romance, School"
10030,Bakuman. 2nd Season,8.49,"Comedy, Drama, Romance, Shounen"
74,Gakuen Alice,7.77,"Comedy, School, Shoujo, Super Power"
4722,Skip Beat!,8.24,"Comedy, Drama, Romance, Shoujo"
14397,Chihayafuru 2,8.47,"Drama, Game, Josei, School, Slice of Life, Sports"
1557,Shounen Onmyouji,7.68,"Action, Magic, Fantasy, Supernatural, Demons, Historical, Shoujo"
10800,Chihayafuru,8.29,"Drama, Game, Josei, School, Slice of Life, Sports"
3731,Itazura na Kiss,7.7,"Comedy, Romance, Shoujo"
9513,Beelzebub,8.02,"Action, Comedy, Demons, Supernatural, School, Shounen"
